4.657079219818115234e+00,3.250835895538330078e+00,2.142285823822021484e+00,1.433984041213989258e+00,8.089414238929748535e-01,2.604353427886962891e-01,1.866430789232254028e-02
4.631652355194091797e+00,3.281567573547363281e+00,2.123634338378906250e+00,1.404224038124084473e+00,7.917445302009582520e-01,2.514190673828125000e-01,1.913053169846534729e-02
4.721316337585449219e+00,3.335427522659301758e+00,2.091243028640747070e+00,1.376794099807739258e+00,7.643930912017822266e-01,2.630390822887420654e-01,1.850016787648200989e-02
4.704666137695312500e+00,3.238799571990966797e+00,2.129566192626953125e+00,1.463994026184082031e+00,8.040165901184082031e-01,2.386965304613113403e-01,1.846511475741863251e-02
4.631324768066406250e+00,3.251996994018554688e+00,2.135143518447875977e+00,1.428015708923339844e+00,8.032485246658325195e-01,2.586079239845275879e-01,2.033991180360317230e-02
4.527798652648925781e+00,3.200591802597045898e+00,2.103559732437133789e+00,1.435263514518737793e+00,8.029707670211791992e-01,2.482975721359252930e-01,1.879121735692024231e-02
4.593541145324707031e+00,3.198605537414550781e+00,2.086324691772460938e+00,1.400574445724487305e+00,8.045411109924316406e-01,2.571990191936492920e-01,2.017166092991828918e-02
4.611477851867675781e+00,3.196535587310791016e+00,2.101192712783813477e+00,1.412086963653564453e+00,7.819769978523254395e-01,2.667737007141113281e-01,1.883926242589950562e-02
4.754462718963623047e+00,3.295456409454345703e+00,2.140610218048095703e+00,1.431971073150634766e+00,8.214678764343261719e-01,2.674179673194885254e-01,1.950101554393768311e-02
4.617011547088623047e+00,3.221824169158935547e+00,2.107182502746582031e+00,1.386335015296936035e+00,7.933743000030517578e-01,2.604915499687194824e-01,1.968024298548698425e-02
