2.580544471740722656e+00,1.715378522872924805e+00,1.160395979881286621e+00,6.195083856582641602e-01,3.670836091041564941e-01,2.514581680297851562e-01,1.505901962518692017e-01
2.500585794448852539e+00,1.640739440917968750e+00,1.072417616844177246e+00,5.801218748092651367e-01,3.382694423198699951e-01,2.242575585842132568e-01,1.499015390872955322e-01
2.550509691238403320e+00,1.702137589454650879e+00,1.130983233451843262e+00,6.069505214691162109e-01,3.431173563003540039e-01,2.362636625766754150e-01,1.500228345394134521e-01
2.665425539016723633e+00,1.770166397094726562e+00,1.179578900337219238e+00,6.328654885292053223e-01,3.507190942764282227e-01,2.178485393524169922e-01,1.473132222890853882e-01
2.549906730651855469e+00,1.727240800857543945e+00,1.172498106956481934e+00,6.367947459220886230e-01,3.674858510494232178e-01,2.445308566093444824e-01,1.505798995494842529e-01
2.465954303741455078e+00,1.668751358985900879e+00,1.115751147270202637e+00,6.089429855346679688e-01,3.615980744361877441e-01,2.256188243627548218e-01,1.450838893651962280e-01
2.481031656265258789e+00,1.654602050781250000e+00,1.091092467308044434e+00,5.806804895401000977e-01,3.304793834686279297e-01,2.389061748981475830e-01,1.489767581224441528e-01
2.598391771316528320e+00,1.704789400100708008e+00,1.127647042274475098e+00,6.028019189834594727e-01,3.589965999126434326e-01,2.397700697183609009e-01,1.473233103752136230e-01
2.564306497573852539e+00,1.694349765777587891e+00,1.138989567756652832e+00,6.184698343276977539e-01,3.831764459609985352e-01,2.359478771686553955e-01,1.515783667564392090e-01
2.456437587738037109e+00,1.624647259712219238e+00,1.104050874710083008e+00,5.978709459304809570e-01,3.270453214645385742e-01,2.259772866964340210e-01,1.492695063352584839e-01
